Lipid	adrenal	adrenal	adrenal	adrenal	adrenal	aorta	aorta	aorta	aorta	aorta	aorta	brain	brain	brain	brain	brain	brain	brown fat	brown fat	brown fat	brown fat	brown fat	brown fat	epidermis	epidermis	epidermis	epidermis	epidermis	epidermis	gastroc	gastroc	gastroc	gastroc	gastroc	gastroc	heart	heart	heart	heart	heart	heart	kidney	kidney	kidney	kidney	kidney	kidney	large intest	large intest	large intest	large intest	large intest	liver	liver	liver	liver	liver	liver	lung	lung	lung	lung	lung	lung	small intest	small intest	small intest	small intest	small intest	small intest	soleus	soleus	soleus	soleus	soleus	soleus	spleen	spleen	spleen	spleen	spleen	spleen	testes	testes	testes	testes	testes	thymus	thymus	thymus	thymus	thymus	thymus	white fat	white fat	white fat	white fat	white fat	blood	blood	blood	blood	blood	blood
CE 14:0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CE 16:0	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.001	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.008	0.004	0.009	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.001	0.013	0.000	0.000	0.000	0.012	0.005	0.001	0.000	0.000	0.004	0.011	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.119	0.112	0.117	0.109	0.146
CE 16:1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.100	0.035	0.042	0.041	0.066
CE 18:0	0.008	0.025	0.000	0.001	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.005	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.008	0.000	0.000	0.000	0.005	0.010	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.073	0.069	0.059	0.050	0.063
CE 18:1	0.146	0.207	0.000	0.038	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.059	0.017	0.021	0.015	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.011	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.013	0.001	0.000	0.000	0.006	0.014	0.004	0.006	0.000	0.000	0.001	0.006	0.000	0.000	0.000	0.119	0.257	0.316	0.256	0.238	0.139	0.015	0.009	0.027	0.030	0.013	0.001	0.023	0.018	0.012	0.016	0.179	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.246	0.170	0.250	0.074	0.069	0.047	0.198	0.095	0.146	0.091	0.071	0.167	0.140	0.153	0.103	0.030	0.042	0.000	0.000	0.000	0.000	0.000	0.658	0.762	0.629	0.621	0.564	0.632
CE 18:2	0.003	0.012	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.064	0.036	0.054	0.014	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.101	0.066	0.033	0.037	0.062	0.015	0.022	0.058	0.017	0.030	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.091	0.114	0.052	0.118	0.027	0.038	0.029	0.093	0.047	0.015	0.023	0.054	0.012	0.000	0.009	0.245	0.275	0.000	0.000	0.000	0.000	0.009	0.000	0.266	0.110	0.273	0.042	0.040	0.016	0.025	0.000	0.005	0.000	0.000	0.054	0.043	0.061	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.235	2.188	2.468	2.654	2.168	2.449
CE 18:3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.145	0.218	0.212	0.249	0.189	0.216
CE 20:1	0.203	0.281	0.000	0.168	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.018	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.028	0.043	0.008	0.002	0.003	0.130	0.055	0.044	0.056	0.054	0.074	0.058	0.065	0.039	0.010	0.008	0.000	0.000	0.000	0.000	0.000	0.027	0.050	0.021	0.052	0.026	0.050
CE 20:2	0.081	0.117	0.000	0.031	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.099	0.074	0.104	0.027	0.023	0.018	0.069	0.016	0.021	0.007	0.008	0.130	0.109	0.124	0.071	0.012	0.014	0.000	0.000	0.000	0.000	0.000	0.020	0.013	0.014	0.072	0.021	0.033
CE 20:3	0.040	0.049	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.026	0.075	0.005	0.000	0.000	0.085	0.016	0.020	0.001	0.000	0.020	0.015	0.026	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.154	0.096	0.119	0.117	0.137
